Date,Open,High,Low,Close,Up votes,Down votes
2023-07-25,19172.28,19465.27,19111.82,19434.4,0.53,0.47
2023-07-26,19340.77,19404.5,19245.66,19365.14,0.535764705882353,0.46423529411764697
2023-07-27,19502.09,19685.79,19482.47,19639.11,0.535764705882353,0.46423529411764697
2023-07-28,19418.48,19940.59,19381.9,19916.56,0.535764705882353,0.46423529411764697
2023-07-31,20237.53,20361.03,20019.79,20078.94,0.535764705882353,0.46423529411764697
2023-08-01,20211.2,20331.28,19891.81,20011.12,0.58,0.42000000000000004
2023-08-02,19902.77,19981.0,19475.15,19517.38,0.47,0.53
2023-08-03,19404.14,19650.16,19369.06,19420.87,0.43,0.5700000000000001
2023-08-04,19671.13,19857.39,19461.61,19539.46,0.61,0.39
2023-08-07,19474.66,19581.82,19352.35,19537.92,0.535764705882353,0.46423529411764697
2023-08-08,19308.55,19370.8,19112.61,19184.17,0.53,0.47
2023-08-09,19059.58,19270.48,19056.1,19246.03,0.31,0.69
2023-08-10,19125.0,19315.17,19030.39,19248.26,0.48,0.52
2023-08-11,19319.91,19346.29,19049.92,19075.19,0.535764705882353,0.46423529411764697
2023-08-14,18697.33,18792.72,18554.51,18773.55,0.535764705882353,0.46423529411764697
